eall,r,t,Value_emit,Value_scc,product
CH4,p23,2038,360878.64118,3120,1125941360.4816
CH4,p23,2041,283998.495661,3390,962754900.2907901
CH4,p23,2044,309186.89442799997,3660,1131624033.60648
CH4,p23,2047,303344.271933,3930,1192142988.69669
CH4,p23,2050,298636.090444,4200,1254271579.8648
CH4,p24,2010,1189735.041202,800,951788032.9616001
CH4,p24,2015,454300.261675,1200,545160314.01
CH4,p24,2020,142828.965758,1600,228526345.2128
CH4,p24,2023,647017.836218,1840,1190512818.64112
CH4,p24,2026,368428.998602,2080,766332317.09216
CH4,p24,2029,519336.27199499996,2320,1204860151.0284
CH4,p24,2032,598588.746378,2580,1544358965.65524
CH4,p24,2035,667218.92482,2850,1901573935.737
CH4,p24,2038,694062.602218,3120,2165475318.92016
CH4,p24,2041,722841.5756839999,3390,2450432941.56876
CH4,p24,2044,727781.055064,3660,2663678661.53424
CH4,p24,2047,664286.009739,3930,2610644018.27427
CH4,p24,2050,660089.546377,4200,2772376094.7834
CH4,p25,2010,2217237.324875,800,1773789859.8999999
CH4,p25,2015,2140204.147601,1200,2568244977.1212
CH4,p25,2020,3382628.2087189998,1600,5412205133.950399
CH4,p25,2023,2733297.0364449997,1840,5029266547.0588
CH4,p25,2026,2157856.756458,2080,4488342053.43264
CH4,p25,2029,2680458.423164,2320,6218663541.740479
CH4,p25,2032,3407527.7378739994,2580,8791421563.714918
CH4,p25,2035,3550788.595604,2850,10119747497.471401
CH4,p25,2038,4064927.41282,3120,12682573527.9984
CH4,p25,2041,4188216.8162239995,3390,14198055006.99936
CH4,p25,2044,4424820.004486,3660,16194841216.41876
CH4,p25,2047,4490281.258139,3930,17646805344.48627
CH4,p25,2050,4813511.336304,4200,20216747612.4768
CH4,p26,2010,214477.046302,800,171581637.0416
CH4,p26,2015,157266.07731300002,1200,188719292.77560002
CH4,p26,2020,217887.007344,1600,348619211.7504
CH4,p26,2023,214063.771721,1840,393877339.96664
CH4,p26,2026,213961.166134,2080,445039225.55872
CH4,p26,2029,213823.408436,2320,496070307.57152
CH4,p26,2032,213486.01604100002,2580,550793921.3857801
CH4,p26,2035,212300.21800999998,2850,605055621.3284999
CH4,p26,2038,207647.33232,3120,647859676.8384
CH4,p26,2041,198544.393717,3390,673065494.70063
CH4,p26,2044,201055.68155100002,3660,735863794.47666
CH4,p26,2047,197095.981631,3930,774587207.80983
CH4,p26,2050,197184.798043,4200,828176151.7806
CH4,p27,2010,265130.494978,800,212104395.9824
CH4,p27,2015,475579.570815,1200,570695484.9779999
CH4,p27,2020,552961.05406,1600,884737686.496
CH4,p27,2023,420085.796415,1840,772957865.4036
CH4,p27,2026,397278.423573,2080,826339121.03184
CH4,p27,2029,268921.359105,2320,623897553.1236
CH4,p27,2032,624277.4713399999,2580,1610635876.0571997
CH4,p27,2035,583176.863276,2850,1662054060.3366
CH4,p27,2038,680793.9036429999,3120,2124076979.36616
CH4,p27,2041,672862.407442,3390,2281003561.22838
CH4,p27,2044,790518.659823,3660,2893298294.95218
CH4,p27,2047,826964.545395,3930,3249970663.40235
CH4,p27,2050,1029953.109392,4200,4325803059.4464
CH4,p28,2010,2479756.940521,800,1983805552.4168
CH4,p28,2015,2189080.672158,1200,2626896806.5896
CH4,p28,2020,5317106.876117,1600,8507371001.787201
CH4,p28,2023,2522015.0131030004,1840,4640507624.109521
CH4,p28,2026,3437526.318256,2080,7150054741.97248
CH4,p28,2029,4034422.03628,2320,9359859124.1696
CH4,p28,2032,4200504.375475001,2580,10837301288.725502
CH4,p28,2035,4042760.159365,2850,11521866454.19025
CH4,p28,2038,4252661.093296,3120,13268302611.083519
CH4,p28,2041,4632390.326185001,3390,15703803205.767153
CH4,p28,2044,4792717.653323,3660,17541346611.16218
CH4,p28,2047,4738098.920547999,3930,18620728757.75364
CH4,p28,2050,4931032.818035,4200,20710337835.747
CH4,p29,2010,1184806.404024,800,947845123.2192
CH4,p29,2015,414443.833525,1200,497332600.23
CH4,p29,2020,1015090.2794669999,1600,1624144447.1471999
CH4,p29,2023,1184806.404024,1840,2180043783.40416
CH4,p29,2026,1184806.404024,2080,2464397320.3699203
CH4,p29,2029,998202.0614449999,2320,2315828782.5523996
CH4,p29,2032,610180.254468,2580,1574265056.52744
CH4,p29,2035,412532.41168099997,2850,1175717373.29085
CH4,p29,2038,426318.816526,3120,1330114707.56112
CH4,p29,2041,425335.215691,3390,1441886381.1924899
CH4,p29,2044,419779.290236,3660,1536392202.2637599
CH4,p29,2047,416117.858554,3930,1635343184.11722
CH4,p29,2050,415514.140825,4200,1745159391.4650002
CH4,p3,2010,10337.919731,800,8270335.7848
CH4,p3,2015,10332.310077,1200,12398772.0924
CH4,p3,2020,6721.636042,1600,10754617.667200001
CH4,p3,2023,6132.371378,1840,11283563.33552
CH4,p3,2026,5540.71864,2080,11524694.7712
CH4,p3,2029,4830.587125,2320,11206962.13
CH4,p3,2032,4584.237477,2580,11827332.69066
CH4,p3,2035,4070.29156,2850,11600330.946
CH4,p3,2038,137741.217192,3120,429752597.63904005
CH4,p3,2041,132056.555489,3390,447671723.10770994
CH4,p3,2044,112572.385637,3660,412014931.43141997
CH4,p3,2047,99128.174749,3930,389573726.76357
CH4,p3,2050,108679.534972,4200,456454046.8824
CH4,p30,2010,111699.23459400001,800,89359387.6752
CH4,p30,2015,133663.812093,1200,160396574.5116
CH4,p30,2020,213701.903999,1600,341923046.3984
CH4,p30,2023,212660.694472,1840,391295677.82848
