r,rr,trtype,t,Value
p12,p13,AC,2050,429421.716
p12,p15,AC,2010,202895.0
p12,p15,AC,2015,202895.0
p12,p15,AC,2020,202895.0
p12,p15,AC,2023,202895.0
p12,p15,AC,2026,202895.0
p12,p15,AC,2029,202895.0
p12,p15,AC,2032,202895.0
p12,p15,AC,2035,202895.0
p12,p15,AC,2038,202895.0
p12,p15,AC,2041,202895.0
p12,p15,AC,2044,393099.444834
p12,p15,AC,2047,706876.16986
p12,p15,AC,2050,706876.16986
p12,p25,AC,2010,318295.52216
p12,p25,AC,2015,318295.52216
p12,p25,AC,2020,318295.52216
p12,p25,AC,2023,318295.52216
p12,p25,AC,2026,318295.52216
p12,p25,AC,2029,318295.52216
p12,p25,AC,2032,318295.52216
p12,p25,AC,2035,318295.52216
p12,p25,AC,2038,318295.52216
p12,p25,AC,2041,318295.52216
p12,p25,AC,2044,318295.52216
p12,p25,AC,2047,318295.52216
p12,p25,AC,2050,318295.52216
p13,p27,AC,2010,163123.0068
p13,p27,AC,2015,163123.0068
p13,p27,AC,2020,163123.0068
p13,p27,AC,2023,163123.0068
p13,p27,AC,2026,163123.0068
p13,p27,AC,2029,163123.0068
p13,p27,AC,2032,163123.0068
p13,p27,AC,2035,163123.0068
p13,p27,AC,2038,163123.0068
p13,p27,AC,2041,163123.0068
p13,p27,AC,2044,163123.0068
p13,p27,AC,2047,163123.0068
p13,p27,AC,2050,163123.0068
p13,p28,AC,2010,1543227.51858
p13,p28,AC,2015,1543227.51858
p13,p28,AC,2020,1543227.51858
p13,p28,AC,2023,1543227.51858
p13,p28,AC,2026,1543227.51858
p13,p28,AC,2029,1543227.51858
p13,p28,AC,2032,1543227.51858
p13,p28,AC,2035,1543227.51858
p13,p28,AC,2038,1543227.51858
p13,p28,AC,2041,1543227.51858
p13,p28,AC,2044,1543227.51858
p13,p28,AC,2047,1543227.51858
p13,p28,AC,2050,1543227.51858
p14,p15,AC,2010,601489.53696
p14,p15,AC,2015,601489.53696
p14,p15,AC,2020,601489.53696
p14,p15,AC,2023,601489.53696
p14,p15,AC,2026,601489.53696
p14,p15,AC,2029,601489.53696
p14,p15,AC,2032,601489.53696
p14,p15,AC,2035,601489.53696
p14,p15,AC,2038,601489.53696
p14,p15,AC,2041,601489.53696
p14,p15,AC,2044,601489.53696
p14,p15,AC,2047,601489.53696
p14,p15,AC,2050,601489.53696
p14,p17,AC,2010,121733.985
p14,p17,AC,2015,121733.985
p14,p17,AC,2020,121733.985
p14,p17,AC,2023,121733.985
p14,p17,AC,2026,121733.985
p14,p17,AC,2029,121733.985
p14,p17,AC,2032,121733.985
p14,p17,AC,2035,121733.985
p14,p17,AC,2038,121733.985
