eall,r,t,Value_emit,dr,Value_scc,dtau,Value
CH4,p133,2041,322635.85173,2.0,3375.0,0.7141625624649355,567780421.781625
CH4,p133,2041,322635.85173,1.5,4285.0,0.7763852604138046,783678015.890637
CH4,p133,2042,322635.85173,2.5,2871.0,0.641165909341059,433623860.2363203
CH4,p133,2042,322635.85173,2.0,3471.0,0.700159374965623,572481000.4368978
CH4,p133,2042,322635.85173,1.5,4394.0,0.7649115866145859,791736830.1207579
CH4,p133,2043,324094.25830399996,2.5,2955.0,0.6255277164303016,437393485.71082497
CH4,p133,2043,324094.25830399996,2.0,3566.0,0.6864307597702186,579223726.2699077
CH4,p133,2043,324094.25830399996,1.5,4502.0,0.7536074744971291,802821428.193164
CH4,p133,2044,324094.25830399996,2.5,3040.0,0.6102709428588309,439000023.6262335
CH4,p133,2044,324094.25830399996,2.0,3661.0,0.6729713331080575,582994639.4252174
CH4,p133,2044,324094.25830399996,1.5,4610.0,0.7424704182237725,809931608.7147882
CH4,p133,2045,324094.25830399996,2.5,3124.0,0.5953862857159326,440127109.69459355
CH4,p133,2045,324094.25830399996,2.0,3756.0,0.6597758167726053,586394980.9280429
CH4,p133,2045,324094.25830399996,1.5,4718.0,0.7314979489889384,816656300.8059947
CH4,p133,2046,270888.662822,2.5,3209.0,0.5808646689911537,368665449.7003775
CH4,p133,2046,270888.662822,2.0,3851.0,0.6468390360515739,492671568.10973203
CH4,p133,2046,270888.662822,1.5,4827.0,0.7206876344718607,688037532.2204919
CH4,p133,2047,270888.662822,2.5,3293.0,0.56669723804015,369088562.1577555
CH4,p133,2047,270888.662822,2.0,3946.0,0.6341559176976214,494926708.05163985
CH4,p133,2047,270888.662822,1.5,4935.0,0.7100370782973997,693036240.4226897
CH4,p133,2048,270888.662822,2.5,3378.0,0.5528753541855124,369381070.8506287
CH4,p133,2048,270888.662822,2.0,4041.0,0.6217214879388445,496903994.9208125
CH4,p133,2048,270888.662822,1.5,5043.0,0.6995439195048273,697736936.9191858
CH4,p133,2049,270068.380242,2.5,3462.0,0.5393905894492803,368214680.2031624
CH4,p133,2049,270068.380242,2.0,4136.0,0.6095308705282789,497103597.9722646
CH4,p133,2049,270068.380242,1.5,5151.0,0.6892058320244606,700021153.8951259
CH4,p133,2050,270068.380242,2.5,3547.0,0.5262347214139321,368053844.71984816
CH4,p133,2050,270068.380242,2.0,4231.0,0.597579284831646,498550584.77942395
CH4,p133,2050,270068.380242,1.5,5260.0,0.6790205241620302,704270206.1751579
CH4,p134,2023,110557.398331,2.5,1457.0,1.025,120550261.8696775
CH4,p134,2023,110557.398331,2.0,1874.0,1.02,154295940.24383628
CH4,p134,2023,110557.398331,1.5,2564.0,1.015,210072306.61423305
CH4,p134,2024,110557.398331,2.5,1524.0,1.0,123018296.25819078
CH4,p134,2024,110557.398331,2.0,1950.0,1.0,157405300.33036223
CH4,p134,2024,110557.398331,1.5,2650.0,1.0,213909767.11562043
CH4,p134,2025,102037.81103900001,2.5,1590.0,0.9756097560975612,115566330.34288129
CH4,p134,2025,102037.81103900001,2.0,2025.0,0.9803921568627452,147905021.8386626
CH4,p134,2025,102037.81103900001,1.5,2737.0,0.9852216748768474,200893932.08921385
CH4,p134,2026,102037.81103900001,2.5,1657.0,0.9518143961927424,117498640.51428398
CH4,p134,2026,102037.81103900001,2.0,2101.0,0.9611687812379854,150447083.45825714
CH4,p134,2026,102037.81103900001,1.5,2823.0,0.9706617486471404,204144111.72127646
CH4,p134,2027,102037.81103900001,2.5,1724.0,0.928599410919749,119267943.09235063
CH4,p134,2027,102037.81103900001,2.0,2176.0,0.9423223345470444,152762388.4075592
CH4,p134,2027,102037.81103900001,1.5,2910.0,0.9563169937410252,207325597.82815498
CH4,p134,2028,15482.896889,2.5,1791.0,0.9059506447997552,18342109.27965911
CH4,p134,2028,15482.896889,2.0,2252.0,0.9238454260265142,23518891.654498745
