RPSCat,i,st,ast,t,Value
RPS_All,distpv,MI,MI,2035,305477.32068
RPS_All,distpv,MI,MI,2038,342704.058015
RPS_All,distpv,MI,MI,2041,437566.12077
RPS_All,distpv,MI,MI,2044,632636.02605
RPS_All,distpv,MI,MI,2047,1027656.709275
RPS_All,distpv,MI,MI,2050,1720486.567305
RPS_All,distpv,IL,IL,2026,227746.651245
RPS_All,distpv,IL,IL,2029,343571.42616
RPS_All,distpv,IL,IL,2032,607860.41973
RPS_All,distpv,IL,IL,2035,1002795.62034
RPS_All,distpv,IL,IL,2038,1627607.53968
RPS_All,distpv,IL,IL,2041,2531630.665275
RPS_All,distpv,IL,IL,2044,3626829.48522
RPS_All,distpv,IL,IL,2047,4862930.027445
RPS_All,distpv,IL,IL,2050,6115150.065075
RPS_All,distpv,NC,NC,2038,6882173.695515
RPS_All,distpv,NC,NC,2041,7188889.68633
RPS_All,distpv,NC,NC,2044,1790302.620821
RPS_All,distpv,NC,NC,2047,527602.3667
RPS_All,distpv,NC,NC,2050,761100.921355
RPS_All,distpv,NC,PA,2026,1011044.845305
RPS_All,distpv,NC,PA,2029,1939985.38296
RPS_All,distpv,NC,PA,2032,3581082.53067
RPS_All,distpv,NC,PA,2035,5263904.77962
RPS_All,distpv,NC,PA,2044,5723219.011894
RPS_All,distpv,NC,PA,2047,7366266.3754
RPS_All,distpv,NC,PA,2050,7580667.19421
RPS_All,distpv,OH,OH,2026,352408.21197
RPS_All,distpv,PA,PA,2026,264603.803145
RPS_All,distpv,PA,PA,2029,376299.95463
RPS_All,distpv,PA,PA,2032,581179.860015
RPS_All,distpv,PA,PA,2035,768578.419725
RPS_All,distpv,PA,PA,2038,994779.410805
RPS_All,distpv,PA,PA,2041,1235743.631025
RPS_All,distpv,PA,PA,2044,1478285.06604
RPS_All,distpv,PA,PA,2047,1718135.235225
RPS_All,distpv,PA,PA,2050,1809002.76249
RPS_All,distpv,MD,MD,2026,1829927.42658
RPS_All,distpv,MD,MD,2029,1187601.216005
RPS_All,distpv,MD,MD,2032,3001189.742055
RPS_All,distpv,MD,MD,2035,1949613.869942
RPS_All,distpv,MD,MD,2038,2790602.7852
RPS_All,distpv,MD,MD,2041,2811200.0601
RPS_All,distpv,MD,MD,2044,2846980.961655
RPS_All,distpv,MD,MD,2047,2894908.71939
RPS_All,distpv,MD,MD,2050,2956699.71645
RPS_All,distpv,MD,DE,2035,833198.840683
RPS_All,distpv,MD,NJ,2029,1127279.67778
RPS_All,distpv,DE,DE,2026,179860.3878
RPS_All,distpv,DE,DE,2032,377169.9177
RPS_All,distpv,DE,DE,2035,430993.80987
RPS_All,distpv,DE,DE,2038,449382.52116
RPS_All,distpv,DE,DE,2041,474079.76844
RPS_All,distpv,DE,DE,2044,501998.3958
RPS_All,distpv,DE,DE,2047,541326.07761
RPS_All,distpv,DE,DE,2050,590317.89966
RPS_All,distpv,DE,NJ,2029,251938.76709
RPS_All,distpv,NJ,NJ,2026,3718786.2309
RPS_All,distpv,NJ,NJ,2029,4661305.74945
RPS_All,distpv,NJ,NJ,2032,6007397.65695
RPS_All,distpv,NJ,NJ,2035,6380348.0499
RPS_All,distpv,NJ,NJ,2038,6648673.28985
RPS_All,distpv,NJ,NJ,2041,6995850.1695
RPS_All,distpv,NJ,NJ,2044,7119358.8867
RPS_All,distpv,NJ,NJ,2047,7120762.39485
RPS_All,distpv,NJ,NJ,2050,7124590.14435
RPS_All,distpv,NY,NY,2026,3467304.70185
RPS_All,distpv,NY,NY,2029,3887153.20653
RPS_All,distpv,NY,NY,2032,4965460.58349
RPS_All,distpv,NY,NY,2035,5489104.808253
RPS_All,distpv,NY,NY,2038,6643656.26727
RPS_All,distpv,NY,NY,2041,8295369.93516
RPS_All,distpv,NY,NY,2044,9513406.33749
RPS_All,distpv,NY,NY,2047,10243981.45188
RPS_All,distpv,NY,NY,2050,11309159.36733
RPS_All,distpv,VT,VT,2041,396652.606862
RPS_All,distpv,VT,VT,2044,431071.103472
RPS_All,distpv,VT,VT,2047,518996.4285
RPS_All,distpv,VT,VT,2050,530091.086625
RPS_All,distpv,VT,MA,2035,498325.328625
RPS_All,distpv,VT,CT,2029,259519.800795
RPS_All,distpv,VT,CT,2032,532543.59
RPS_All,distpv,VT,CT,2038,500310.6885
RPS_All,distpv,VT,RI,2029,241645.53624
RPS_All,distpv,NH,NH,2026,203241.55467
RPS_All,distpv,NH,NH,2029,218118.74049
RPS_All,distpv,NH,NH,2032,238394.905035
RPS_All,distpv,NH,NH,2035,236715.222765
RPS_All,distpv,NH,NH,2038,249912.726315
RPS_All,distpv,NH,NH,2041,263470.16178
RPS_All,distpv,NH,NH,2044,276067.778805
RPS_All,distpv,NH,NH,2047,288425.44122
RPS_All,distpv,NH,NH,2050,301023.058245
RPS_All,distpv,MA,MA,2026,633053.743425
RPS_All,distpv,MA,MA,2029,1525111.3971
RPS_All,distpv,MA,MA,2032,3049259.05872
RPS_All,distpv,MA,MA,2035,3908911.10688
RPS_All,distpv,MA,MA,2038,3994081.229925
RPS_All,distpv,MA,MA,2041,4059856.176435
RPS_All,distpv,MA,MA,2044,4124546.92053
RPS_All,distpv,MA,MA,2047,4207428.17181
RPS_All,distpv,MA,MA,2050,4307777.128665
RPS_All,distpv,CT,CT,2026,1062900.48216
